Actor / Entity,ESPR Reference,Primary Scope / Role,Key Legal Responsibilities & Obligations
Manufacturers,"Articles 9, 27, 43, 44, 46",Economic Operator,Carry out conformity assessments (or ensure Module A is completed); draw up EU declaration of conformity; affix CE marking; create Digital Product Passport (DPP) & upload required data to DPP registry; retain technical documentation & DPP for 10 years; ensure compliance with performance & information requirements; take immediate corrective action or recall non-compliant products; prevent circumvention/defeat devices.
Authorized Representatives,Article 28,Economic Operator,Act under a written mandate from non-EU manufacturers; keep EU declaration of conformity and technical documentation available for national surveillance authorities for 10 years; cooperate with authorities to eliminate compliance risks; provide proof of compliance upon reasoned request.
Importers,"Articles 29, 34",Economic Operator,"Verify that non-EU manufacturers carried out conformity assessments, drew up technical docs, affixed CE marking, and created DPP; ensure product compliance before placing on EU market; refrain from placing non-compliant/risky products on market; store EU declaration of conformity copy for 10 years; assume full manufacturer obligations if modifying products or placing under own brand name."
Distributors,"Articles 30, 34",Economic Operator,"Verify products bear required CE marking, physical/digital labels, and accessible DPP/data carriers before making available on market; ensure storage & transport conditions do not jeopardize compliance; refrain from making non-compliant products available; assume full manufacturer obligations if modifying products or selling under own brand."
Dealers (Retailers & Merchants),"Articles 31, 32",Economic Operator,Ensure sustainability/energy labels and DPP data links are clearly visible and accessible to consumers in physical stores and online channels; refrain from displaying misleading or mimicking labels that confuse consumers.
Fulfilment Service Providers,Article 33,Logistics / Supply Chain,"Ensure products handled (warehousing, packaging, parcel delivery) satisfy CE marking, labeling, and DPP requirements before shipping when no manufacturer or importer is established in the EU; cooperate with market surveillance authorities."
Providers of Online Marketplaces & Search Engines,Article 35,Digital Intermediaries,"Design platforms/interfaces allowing third-party sellers to display mandatory DPP links, labels, and compliance info; cooperate with market surveillance authorities to identify and remove listings of non-compliant products; act upon explicit take-down orders."
Supply Chain Actors (Suppliers & Material Vendors),Article 38,Upstream Value Chain,"Provide manufacturers with necessary, verified information, chemical data, material compositions, and life-cycle inputs required to complete DPPs, technical documentation, and compliance testing."
Economic Operators (General / Unsold Products),"Articles 23, 24, 25, 36, 37",Economic Operator (General),Take operational measures to prevent destruction of unsold consumer products; disclose annual volume/reasons for unsold discarded goods (for large/medium enterprises); comply with direct bans on destroying specific unsold goods (e.g. apparel/footwear); maintain supply chain traceability records for 10 years.
European Commission,"Articles 4, 13, 14, 18, 26, 42, 70, 72, 75",EU Executive Body,Adopt product-specific delegated acts; establish multi-year Ecodesign Working Plans; manage and host the centralized EU Digital Product Passport (DPP) Registry and public web portal; establish common technical specifications when standard bodies lag; evaluate ESPR impacts; compile consolidated EU data on unsold product destruction.
Member States / Competent Authorities,"Articles 3, 22, 64, 66, 74",National Government / Governance,"Ensure free movement of compliant products; refrain from restricting compliant goods; provide support/assistance to SMEs; establish risk-based national market surveillance plans; enforce effective, proportionate, and dissuasive penalties for violations; align national financial incentives with high performance levels."
Market Surveillance Authorities (MSAs),"Articles 66, 67, 68, 69, 71",National Enforcement,"Conduct physical checks, laboratory tests, and digital audits on products; inspect DPPs and technical documentation; order corrective measures, product withdrawals, or market recalls for non-compliant goods; address formal non-compliance; report inspection findings to the EU benchmarking database."
Notifying Authorities,"Articles 48, 49, 50, 51",National Regulatory Oversight,"Assess, accredit, notify, and monitor third-party conformity assessment bodies (Notified Bodies); maintain independence, objectivity, and confidentiality; inform the Commission of designated accreditation procedures."
Notified Bodies,"Articles 52, 54, 60, 61, 63",Third-Party Auditing / Certification,"Perform conformity assessment activities as mandated in delegated acts; maintain technical competence, impartiality, and independence; issue conformity certificates; notify authorities of certificate refusals, suspensions, or withdrawals; participate in sectoral coordination groups."
Public Buyers / Contracting Authorities,Article 65,Public Procurement,Comply with mandatory Green Public Procurement (GPP) requirements; ensure state procurement contracts and public tenders require compliance with top ecodesign performance classes and standards.
Ecodesign Forum & Expert Groups,"Articles 19, 20",Advisory / Consultative Bodies,"Advise the European Commission on setting ecodesign working plans, drafting delegated acts, self-regulation measures, and market surveillance priorities (comprising Member State representatives, industry, SMEs, environmental NGOs, and consumer groups)."
Administrative Cooperation Group (ADCO),Article 68,EU Coordination Body,"Facilitate cross-border cooperation, joint market surveillance projects, and information sharing among Member States' market surveillance authorities."
Consumers / End-Users,"Articles 7, 14, 76, 77",Rights Holders / End Buyers,"Access clear sustainability performance information via physical labels and DPP web portal; hold legal rights to redress (repairs, replacements, financial compensation) and representative class actions for products violating ecodesign standards."
